timestamp,source_file,feedback_text,category,llm_confidence,neighbour_agreement,final_confidence,rationale,flagged_keywords,needs_review
2026-09-18T19:54:18,Cosmetics_Feedback_009.pdf,How would you rate the overall product quality? 3 How do you feel about the texture and application? 2 How would you rate the fragrance? 1 How effective was the product? 5 How do you feel about the product packaging? 5 Was the product value for money? 3 How was your overall experience? 2 The serum feels smooth and absorbs quickly into the skin. Would you recommend this product to others? Recommendation: No,Poor,0.9,0.0,0.54,"The customer gave low ratings (1-3) for several aspects, including fragrance, texture, and overall experience. They also explicitly stated they would not recommend the product.","low ratings, not recommend",True
2026-09-18T19:54:57,Cosmetics_Feedback_006.pdf,How would you rate the overall product quality? 1 How do you feel about the texture and application? 5 How would you rate the fragrance? 3 How effective was the product? 2 How do you feel about the product packaging? 5 Was the product value for money? 2 How was your overall experience? 3 The product did not meet my expectations. Would you recommend this product to others? Recommendation: No,Poor,0.9,0.0,0.54,"The customer explicitly states that the product 'did not meet my expectations' and gives low ratings across several categories, including effectiveness and value for money.","product did not meet my expectations, low ratings (1, 2, 3), would you recommend this product to others? Recommendation: No",True
2026-09-18T20:01:26,Cosmetics_Feedback_009.pdf,How would you rate the overall product quality? 3 How do you feel about the texture and application? 2 How would you rate the fragrance? 1 How effective was the product? 5 How do you feel about the product packaging? 5 Was the product value for money? 3 How was your overall experience? 2 The serum feels smooth and absorbs quickly into the skin. Would you recommend this product to others? Recommendation: No,Poor,0.9,0.0,0.65,"The customer gave low ratings for several aspects of the product, including fragrance, texture, and overall experience. They also stated they would not recommend the product to others.","overall product quality: 3, texture and application: 2, fragrance: 1, effective was the product: 5, product packaging: 5, value for money: 3, overall experience: 2, Would you recommend this product to others? Recommendation: No",False
2026-09-18T20:16:08,Feedy_200_Customer_Reviews.pdf,I had a decent experience. The staff were polite and my problem was eventually resolved.,Good,0.9,0.33,0.75,"The customer describes their experience as 'decent', which implies some level of satisfaction, but also mentions that the issue took time to resolve, indicating a minor reservation.","decent, polite",False
2026-09-18T20:16:15,Feedy_200_Customer_Reviews.pdf,I spent a long time at the branch and still left without getting the service I needed.,Poor,0.9,0.67,0.85,"The customer expresses frustration with their experience, stating they 'left without getting the service I needed', implying that their needs were not met.","long time, without getting the service I needed",False
2026-09-18T20:16:21,Feedy_200_Customer_Reviews.pdf,"The staff were polite, but I had to wait quite a while before someone assisted me.",Good,0.9,0.33,0.75,"The customer is generally satisfied with the service they received, despite having to wait a while for assistance.","polite, waited quite a while",False
2026-09-18T20:16:27,Feedy_200_Customer_Reviews.pdf,I expected much better customer service. My concern was ignored for too long.,Poor,0.9,1.0,0.95,"The customer expresses strong dissatisfaction with the customer service, stating that their concern was 'ignored for too long', which implies a significant problem.","customer service, ignored",False
2026-09-18T20:16:33,Feedy_200_Customer_Reviews.pdf,"I eventually got the help I needed, but I had to follow up more than once.",Good,0.8,0.0,0.6,"The customer is generally satisfied with the outcome, but mentions a minor issue with having to follow up multiple times.","got the help I needed, had to follow up more than once",False
2026-09-18T20:16:39,Feedy_200_Customer_Reviews.pdf,"The transaction went through, but there was unnecessary confusion about the documentation.",Good,0.9,0.0,0.65,"The customer mentions that the transaction went through, indicating a positive outcome, and only expresses minor reservations about the documentation process.","unnecessary confusion, documentation",False
2026-09-18T20:16:45,Feedy_200_Customer_Reviews.pdf,I appreciate the professional and friendly service. My request was completed correctly on the first attempt.,Excellent,1.0,0.0,0.7,"The customer expresses strong satisfaction with both the service and the outcome, using positive language to describe their experience.","professional, friendly, completed correctly",False
2026-09-18T20:16:51,Feedy_200_Customer_Reviews.pdf,"I had a wonderful experience at the branch. The service was fast, friendly, and efficient.",Excellent,1.0,0.0,0.7,"The customer uses enthusiastic language ('wonderful', 'fast', 'friendly', 'efficient') to describe their experience.","wonderful, fast, friendly, efficient",False
2026-09-18T20:16:57,Feedy_200_Customer_Reviews.pdf,The transaction was completed correctly and the staff were friendly.,Excellent,1.0,0.0,0.7,"The customer is extremely satisfied with their experience, using words like 'correctly' and 'friendly', indicating a high level of praise.","completed correctly, staff were friendly",False
2026-09-18T20:17:03,Feedy_200_Customer_Reviews.pdf,The process was much easier than I expected because the employee guided me through every step.,Excellent,0.9,0.0,0.65,"The customer expresses strong satisfaction with their experience, specifically mentioning that it was 'much easier' than they expected due to good guidance from an employee.","easier, guided",False
2026-09-18T20:17:09,Feedy_200_Customer_Reviews.pdf,"The staff were friendly, but the waiting time made the experience less satisfactory.",Good,0.8,0.67,0.8,"The customer mentions a minor reservation about the waiting time, but overall uses positive language to describe their interaction with the staff.","friendly, waiting time",False
2026-09-18T20:17:16,Feedy_200_Customer_Reviews.pdf,Very poor experience. The waiting time was excessive and the service was inefficient.,Poor,1.0,0.67,0.9,"The customer uses strong negative language ('very poor', 'excessive', 'inefficient') to describe their experience, indicating a high level of dissatisfaction.","poor, excessive, inefficient",False
2026-09-18T20:17:21,Feedy_200_Customer_Reviews.pdf,"My request was completed correctly, but it took too much time.",Good,0.9,0.33,0.75,"The customer is generally satisfied with the outcome, but has a minor reservation about the speed.","completed correctly, took too much time",False
2026-09-18T20:17:27,Feedy_200_Customer_Reviews.pdf,Good customer support. My issue was resolved after a little back and forth.,Good,0.9,0.33,0.75,"The customer mentions that their issue was resolved, indicating satisfaction with the outcome. The tone is positive overall.","good, resolved",False
2026-09-18T20:17:33,Feedy_200_Customer_Reviews.pdf,Very frustrating experience. I received conflicting information from different employees.,Poor,0.9,1.0,0.95,"The customer uses strong negative language ('very frustrating') and expresses dissatisfaction with the service they received, specifically mentioning conflicting information from employees.","frustrating, conflicting",False
2026-09-18T20:17:39,Feedy_200_Customer_Reviews.pdf,The employee was not helpful and made the process more difficult than necessary.,Poor,0.9,0.67,0.85,"The customer expresses strong dissatisfaction with the employee's behavior, using words like 'not helpful' and implying that their experience was unnecessarily complicated.","employee, not helpful",False
2026-09-18T20:17:45,Feedy_200_Customer_Reviews.pdf,Excellent service and excellent communication. My concerns were taken seriously and resolved quickly.,Excellent,1.0,0.0,0.7,"The customer uses enthusiastic language ('excellent') to describe both the service and communication, indicating strong satisfaction.","excellent, excellent",False
2026-09-18T20:17:50,Feedy_200_Customer_Reviews.pdf,"The branch was busy and the staff seemed overwhelmed, which caused delays.",Good,0.8,0.0,0.6,"The customer is generally satisfied with their experience, but mentions a specific problem (delays) that prevented them from being completely happy.","busy, overwhelmed",False
2026-09-18T20:17:57,Feedy_200_Customer_Reviews.pdf,The employee provided clear information and excellent support. I would be very happy to return.,Excellent,1.0,0.0,0.7,"The customer uses enthusiastic language ('excellent support', 'very happy') and expresses a strong desire to return, indicating high satisfaction.","excellent support, very happy",False
2026-09-18T20:18:03,Feedy_200_Customer_Reviews.pdf,The staff went above and beyond to help me with my request. I really appreciate the excellent customer service.,Excellent,1.0,0.0,0.7,"The customer uses enthusiastic language ('above and beyond', 'excellent') to express their satisfaction, indicating a strong positive experience.","above and beyond, excellent",False
2026-09-18T20:18:09,Feedy_200_Customer_Reviews.pdf,The service was extremely slow and my concern was not taken seriously.,Poor,0.9,1.0,0.95,"The customer expresses strong dissatisfaction with the service, stating it was 'extremely slow' and their concern wasn't taken seriously, indicating a negative experience.","slow, not taken seriously",False
2026-09-18T20:18:15,Feedy_200_Customer_Reviews.pdf,The employee was extremely courteous and helpful. I received exactly the assistance I needed.,Excellent,1.0,0.0,0.7,"The customer uses enthusiastic language ('extremely courteous', 'helpful') to describe their experience, indicating strong satisfaction.","extremely courteous, helpful",False
2026-09-18T20:18:21,Feedy_200_Customer_Reviews.pdf,Everything was handled smoothly and accurately. The staff provided excellent customer support.,Excellent,1.0,0.0,0.7,"The customer uses enthusiastic language ('excellent') to describe the customer support, indicating a high level of satisfaction.","excellent, smoothly, accurately",False
2026-09-18T20:18:26,Feedy_200_Customer_Reviews.pdf,I had to wait and ask for assistance before anyone handled my request.,Good,0.8,0.0,0.6,"The customer is generally satisfied, but mentions a minor reservation about having to wait for assistance.","wait, assistance",False
2026-09-18T20:18:32,Feedy_200_Customer_Reviews.pdf,The employee did not understand my concern and did not make an effort to find a solution.,Poor,1.0,1.0,1.0,"The customer is expressing strong dissatisfaction with the service they received, specifically that their concern was not understood or addressed.","did not understand, did not make an effort",False
2026-09-18T20:18:38,Feedy_200_Customer_Reviews.pdf,My issue remained unresolved despite explaining it several times.,Poor,0.9,0.67,0.85,"The customer expresses frustration and disappointment that their issue was not resolved, despite multiple attempts to explain it.","issue, remained unresolved",False
2026-09-18T20:18:44,Feedy_200_Customer_Reviews.pdf,The staff were exceptionally helpful and professional. I left the branch feeling completely satisfied.,Excellent,1.0,0.0,0.7,"The customer uses enthusiastic language ('exceptionally helpful', 'completely satisfied') to describe their experience, indicating strong satisfaction.","exceptionally helpful, completely satisfied",False
2026-09-18T20:18:50,Feedy_200_Customer_Reviews.pdf,"The staff were respectful, but communication could be improved.",Good,0.9,0.33,0.75,"The customer mentions a positive aspect (respectful staff) and a minor reservation (communication could be improved), indicating overall satisfaction with some room for improvement.","respectful, could be improved",False
2026-09-18T20:18:56,Feedy_200_Customer_Reviews.pdf,I am extremely happy with the service I received. Everything was handled accurately and quickly.,Excellent,1.0,0.0,0.7,"The customer uses enthusiastic language ('extremely happy') to express their satisfaction, indicating a strong positive experience.","extremely happy, handled accurately and quickly",False
2026-09-18T20:19:02,Feedy_200_Customer_Reviews.pdf,"The employee gave me incorrect instructions, causing another unnecessary visit.",Poor,0.9,0.67,0.85,The customer is expressing frustration and disappointment with a specific problem (incorrect instructions) that caused an inconvenience (another unnecessary visit). The tone is urgent and negative.,"incorrect instructions, unnecessary visit",False
2026-09-18T20:19:08,Feedy_200_Customer_Reviews.pdf,Excellent support and quick resolution. I could not have asked for a better experience.,Excellent,1.0,0.0,0.7,"The customer uses enthusiastic language, such as 'Excellent' and 'could not have asked for a better experience', indicating strong satisfaction.","Excellent, quick resolution",False
2026-09-18T20:19:15,Feedy_200_Customer_Reviews.pdf,"The staff tried to help, but I felt the process could be much more organized.",Need Improvements,0.9,0.33,0.75,The customer mentions a specific problem with the process being disorganized and implies that it's not meeting their expectations.,"process, organized",False
2026-09-18T20:19:21,Feedy_200_Customer_Reviews.pdf,The entire visit was quick and hassle-free. The employee handled everything perfectly.,Excellent,1.0,0.0,0.7,"The customer uses enthusiastic language ('quick', 'hassle-free') to describe their experience, indicating strong satisfaction.","quick, hassle-free",False
2026-09-18T20:19:27,Feedy_200_Customer_Reviews.pdf,The staff handled my request with great professionalism. I felt valued as a customer.,Excellent,1.0,0.0,0.7,"The customer uses enthusiastic language ('great professionalism', 'felt valued') to describe their experience, indicating strong satisfaction and delight.","great professionalism, felt valued",False
2026-09-18T20:19:32,Feedy_200_Customer_Reviews.pdf,Extremely poor experience. My request was delayed and nobody explained what was happening.,Poor,1.0,1.0,1.0,The customer uses strong negative language ('extremely poor') and expresses frustration with a specific problem (delayed request) without any constructive suggestions or positive tone.,"Extremely poor, delayed",False
2026-09-18T20:19:38,Feedy_200_Customer_Reviews.pdf,My request was completed properly. The staff were courteous throughout the visit.,Excellent,1.0,0.0,0.7,"The customer expresses strong satisfaction and delight, using positive language to describe their experience.","courteous, properly",False
2026-09-18T20:19:44,Feedy_200_Customer_Reviews.pdf,The staff were helpful and professional. The branch was reasonably organized.,Good,0.9,0.67,0.85,"The customer mentions positive experiences with the staff and organization, but doesn't express strong satisfaction or enthusiasm.","helpful, professional, reasonably organized",False
2026-09-18T20:19:50,Feedy_200_Customer_Reviews.pdf,The issue was still unresolved after several attempts to get assistance.,Poor,0.9,1.0,0.95,"The customer expresses frustration with the unresolved issue and implies a lack of effective support, which is consistent with previous 'Poor' classifications.","unresolved, assistance",False
2026-09-18T20:19:56,Feedy_200_Customer_Reviews.pdf,I had a very positive experience. The staff were attentive and made sure everything was correct.,Excellent,1.0,0.0,0.7,The customer uses enthusiastic language ('very positive experience') and highlights specific strengths (attentive staff).,"positive, experience, attentive",False
2026-09-18T20:20:02,Feedy_200_Customer_Reviews.pdf,The process was confusing and the staff could not give me a consistent answer.,Poor,0.9,0.33,0.75,"The customer expresses strong dissatisfaction with their experience, specifically mentioning that the staff couldn't provide a consistent answer, which implies a lack of helpfulness and potentially even incompetence.","confusing, consistent answer",False
2026-09-18T20:20:08,Feedy_200_Customer_Reviews.pdf,I was disappointed by the lack of support. Nobody took ownership of my request.,Poor,0.9,1.0,0.95,"The customer expresses disappointment and frustration with the lack of support, which suggests a negative experience.","disappointed, lack of support",False
2026-09-18T20:20:14,Feedy_200_Customer_Reviews.pdf,"I am happy with the service I received. There was a little waiting, but everything was resolved.",Good,0.9,0.67,0.85,"The customer expresses overall satisfaction and acknowledges a minor issue (waiting), but frames it as 'a little' which suggests they're not overly concerned.","happy, resolved",False
2026-09-18T20:20:21,Feedy_200_Customer_Reviews.pdf,The service quality was exceptional. I was treated with respect and my issue was resolved immediately.,Excellent,1.0,0.0,0.7,"The customer uses the word 'exceptional' to describe their experience, indicating a high level of satisfaction.","exceptional, treated with respect",False
2026-09-18T20:20:27,Feedy_200_Customer_Reviews.pdf,"My issue was resolved, although the process involved unnecessary delays.",Good,0.9,0.33,0.75,"The customer is generally satisfied with the outcome, but mentions a specific problem (unnecessary delays) that prevented an 'Excellent' rating.","resolved, delays",False
2026-09-18T20:20:33,Feedy_200_Customer_Reviews.pdf,I waited for a long time only to be told that I needed additional documents that were not mentioned earlier.,Poor,0.9,0.67,0.85,"The customer expresses frustration and disappointment with the experience, specifically mentioning that they had to wait a long time for a resolution that ultimately didn't work out as expected.","waited for a long time, not mentioned earlier",False
2026-09-18T20:20:39,Feedy_200_Customer_Reviews.pdf,The branch staff were friendly and the transaction was completed successfully.,Excellent,1.0,0.0,0.7,"The customer uses enthusiastic language ('friendly', 'successfully') to describe their experience, indicating strong satisfaction.","friendly, successfully",False
2026-09-18T20:20:44,Feedy_200_Customer_Reviews.pdf,"The service was okay, but the branch needs better queue management.",Good,0.9,0.33,0.75,The customer's tone is generally positive and they mention only minor reservations about the branch's queue management.,"okay, minor reservations",False
2026-09-18T20:20:50,Feedy_200_Customer_Reviews.pdf,"The transaction was completed, but there was some confusion during the process.",Good,0.9,0.33,0.75,"The customer is generally satisfied with the outcome, but mentions a minor issue (confusion) during the process.","some confusion, during the process",False
